,id,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Touchscreen,High_resolucion,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,Cpu power,Intel Core i3,Intel Core i5,Intel Core i7,Intel Celeron Dual Core,Intel Pentium Quad Core,A4,A6,A8,A10,A12,AMD Radeon,Nvidia GeForce,Nvidia Quadro,Intel HD Graphics,AMD FirePro,Intel Iris Graphics
0,852,Dell,Inspiron 5767,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1000,AMD Radeon R7 M445,Linux,2.83,865.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
1,414,Asus,ZenBook Flip,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,1.27,928.0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,283,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Intel HD Graphics 620,Windows 10,2.2,579.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3,669,Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Linux,2.1,412.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,1287,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,6,1000,AMD Radeon R5 M330,Windows 10,2.19,764.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
5,47,Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,1256,AMD Radeon RX 580,Windows 10,3.2,1299.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
6,165,MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,1256,Nvidia GeForce GTX 1060,Windows 10,2.4,1799.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
7,670,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8,256,Intel Iris Plus Graphics 640,Windows 10 S,1.252,1867.85,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
8,167,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1128,Nvidia GeForce GTX 1050,Windows 10,2.56,1060.49,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
9,209,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,2.2,597.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
